index,Geography,Product,Custom Segment Value,Custom Sub Segment Value,Custom Parent Value,Custom Major Brand Value,Custom Brand Value,Dollar Sales,Dollar Sales Year Ago,Dollar Sales Change vs YA,Dollar Sales % Change vs YA,Unit Sales,Unit Sales Year Ago,Unit Sales Change vs YA,Unit Sales % Change vs YA,ACV Weighted Distribution,ACV Weighted Distribution Year Ago,ACV Weighted Distribution Change vs YA
0,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS MIRROR 1 CT - 351536154,FACE,ALL OTHER,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,0,0.220079648,-0.220079648,-1,0,1.000362039,-1.000362039,-1,0,0.001723791,-0.001723791
1,Total US - Multi Outlet,TWEEZERMAN IMPLEMENTS MIRROR 1 CT - 3809701643,FACE,ALL OTHER,TWEEZERMAN,TWEEZERMAN,TWEEZERMAN,5548.5,44388,-38839.5,-0.875,150,1200,-1050,-0.875,0.045108968,0.04562697,-0.000518
3,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS SHAVING BRUSH 1 CT - 215298515,FACE,ALL OTHER,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,111.8904555,429.8905389,-318.0000834,-0.739723382,124.5379315,466.6688796,-342.1309481,-0.733134269,0.01436017,0.056149563,-0.041789393
4,Total US - Multi Outlet,TWEEZERMAN GEAR IMPLEMENTS SHAVING BRUSH 1 CT - 3809700938,FACE,ALL OTHER,TWEEZERMAN,TWEEZERMAN,TWEEZERMAN GEAR,543.5896924,3915.067397,-3371.477705,-0.861154448,126.4653804,896.628592,-770.1632116,-0.858954553,0.042938879,0.082239124,-0.039300245
5,Total US - Multi Outlet,TRIM MEN IMPLEMENTS STYPTIC PENCIL 1 CT - 7160303877,FACE,ALL OTHER,PACIFIC WORLD CORP,TRIM,TRIM MEN,50.61415738,21.01624382,29.59791356,1.408335087,23.11148739,10.36827362,12.74321377,1.229058399,0.001029371,0.00119665,-0.000167
6,Total US - Multi Outlet,ARDELL IMPLEMENTS EYEBROW SHAPERS 3 CT - 7476475021,FACE,EYEBROW SHAPERS,AMERICAN INTERNATIONAL INDUSTRIES,ARDELL,ARDELL,3318663.497,3546428.332,-227764.835,-0.064223724,618342.8493,894864.5463,-276521.697,-0.309009557,30.56475429,29.35102115,1.213733134
7,Total US - Multi Outlet,ARDELL IMPLEMENTS EYEBROW SHAPERS 3 CT - 7476425546,FACE,EYEBROW SHAPERS,AMERICAN INTERNATIONAL INDUSTRIES,ARDELL,ARDELL,1620.028511,4413.044256,-2793.015745,-0.632900008,499.901173,1328.39837,-828.4971967,-0.623681281,0.074390777,0.507897015,-0.433506238
9,Total US - Multi Outlet,ARDELL PRO BROW IMPLEMENTS EYEBROW SHAPERS 6 CT - 7476461637,FACE,EYEBROW SHAPERS,AMERICAN INTERNATIONAL INDUSTRIES,ARDELL,ARDELL PRO BROW,6.003770717,63.6884354,-57.68466469,-0.905732168,1.002298951,15.00760305,-14.0053041,-0.933213922,0.011448092,0.114314652,-0.102866559
13,Total US - Multi Outlet,CALA PROFESSIONAL IMPLEMENTS EYEBROW SHAPERS 3 CT - 1651350728,FACE,EYEBROW SHAPERS,"SHINS TRADING CO., INC",CALA,CALA PROFESSIONAL,107648.154,101155.4322,6492.721768,0.064185597,27106.80481,25691.96766,1414.83716,0.055069241,1.249808867,1.075421268,0.174387598
14,Total US - Multi Outlet,CHICA IMPLEMENTS EYEBROW SHAPERS 1 CT - 7160321898,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,CHICA,CHICA,0,0.727006752,-0.727006752,-1,0,1.053632975,-1.053632975,-1,0,0.002862192,-0.002862192
